Nome;Unidade;quantidade
CESTO CHURROS AÇAI NATURAL;UN;0
CONE DE CHURROS + GELATO;UN;0
CESTO DE CHURROS + GELATO;UN;0
CONE CHURROS CAFE TRUFADO;UN;0
CONE CHURROS AÇAI NATURAL;UN;0
CONE CHURROS AÇAI ZERO;UN;0
CONE CHURROS CARAMELO SALGADO;UN;0
CONE CHURROS CHOCOLATE BELGA;UN;0
CONE CHURROS CUPUAÇU;UN;0
CONE CHURROS DOCE DE LEITE;UN;0
CONE CHURROS IOGURTE C/ AMARENA;UN;0
CONE CHURROS LIMAO SICILIANO;UN;0
CONE CHURROS MANGA ZERO;UN;0
CONE CHURROS MILHO VERDE;UN;0
CONE CHURROS MORANGO;UN;0
CONE CHURROS PISTACHE;UN;0
CONE CHURROS COOKIES & CREAM;UN;0
CONE CHURROS TANGERINA;UN;0
CONE CHURROS IORG C/ FRUTAS VERMELHAS;UN;0
SANDWICHE AÇAI NATURAL;UN;0
CONE CHURROS SPECULOS;UN;0
CONE CHURROS MARACUJA;UN;0
CESTO CHURROS CAFE TRUFADO;UN;0
CESTO CHURROS AÇAI ZERO;UN;0
CESTO CHURROS CARAMELO SALGADO;UN;0
CESTO CHURROS CHOCOLATE BELGA;UN;0
CESTO CHURROS CUPUAÇU;UN;0
CESTO CHURROS DOCE DE LEITE;UN;0
CESTO CHURROS IOGURTE C/ AMARENA;UN;0
CESTO CHURROS LIMAO SICILIANO;UN;0
CESTO CHURROS MANGA ZERO;UN;0
CESTO CHURROS MILHO VERDE;UN;0
CESTO CHURROS MORANGO;UN;0
CESTO CHURROS PISTACHE;UN;0
CESTO CHURROS COOKIES & CREAM;UN;0
CESTO CHURROS TANGERINA;UN;0
CESTO CHURROS IORG C/ FRUTAS VERMELHAS;UN;0
SANDWICHE CAFE TRUFADO;UN;0
CESTO CHURROS SPECULOS;UN;0
CESTO CHURROS MARACUJA;UN;0
SANDWICHE AÇAI ZERO;UN;0
SANDWICHE CARAMELO SALGADO;UN;0
SANDWICHE CHOCOLATE BELGA;UN;0
SANDWICHE CUPUAÇU;UN;0
SANDWICHE DOCE DE LEITE;UN;0
SANDWICHE IOGURTE C/ AMARENA;UN;0
SANDWICHE LIMAO SICILIANO;UN;0
SANDWICHE MANGA ZERO;UN;0
SANDWICHE MILHO VERDE;UN;0
SANDWICHE MORANGO;UN;0
SANDWICHE PISTACHE;UN;0
SANDWICHE COOKIES & CREAM;UN;0
SANDWICHE TANGERINA;UN;0
SANDWICHE IORG C/ FRUTAS VERMELHAS;UN;0
SANDWICHE SPECULOS;UN;0
SANDWICHE MARACUJA;UN;0
CONE AÇAI SOFT;UN;0
CONE IOGURTE SOFT;UN;0
CONE BAUNILHA SOFT;UN;0
CONE MISTO SOFT;UN;0
CESTO CHURROS BAUNILHA;UN;0
SANDWICHE BAUNILHA;UN;0
AÇAÍ NATURAL 15LTS;UN;0
AÇAÍ NATURAL ZERO 15LTS;UN;0
AGUA SEM GAS;UN;0
AGUA COM GAS;UN;0
IOGURTE COM AMARENA 15LTS;UN;0
IOGURTE NATURAL 15LTS;UN;0
DOCE DE LEITE 15LTS;UN;0
MANGA ZERO 15LTS;UN;0
AÇAI 36 LITROS;UN;0
MARACUJA 15 LITROS;UN;0
PICOLE DE AÇAI NATURAL;UN;0
PALETA DE AÇAÍ COM LEITE CONDENSADO;UN;0
PALETA DE CUPUACU COM LEITE CONDENSADO;UN;0
POTE AÇAÍ 250ML;UN;0
CHOCOLATE BELGA 15LTS;UN;0
CAFE TRUFADO 15LTS;UN;0
SUCO NOBRAND;UN;0
BOMBOM CUPUAÇU;UN;0
BOMBOM CAJA;UN;0
PALETA DE NINHO COM NUTELLA;UN;0
PALETA DE PAO DE MEL;UN;0
COOKIE RED VELVET;UN;0
COOKIE TRADICIONAL;UN;0
COOKIE NUTELLA;UN;0
BANANA CARAMELIZADA 15LTS;UN;0
CREME DE CUPUAÇU 15 LITROS;UN;0
CALDA DE AMARENA 200ML;UN;0
COCA-COLA;UN;0
COCA-COLA ZERO;UN;0
PALETA NEGRESCO;UN;0
POTE 240 ML CUPUAÇU;UN;0
BROWNIE;UN;0
BROWNIE COM GELATO;UN;0
COOKIE NUTELLA COM GELATO;UN;0
MILK SHAKE 300ML;UN;0
MILK SHAKE 500ML;UN;0
PICOLE DE CHOCOLATE;UN;0
RECHEIO DORELLA ESSENCIAL DOREMUS 4KG;CX;0
RECHEIO AMARENA ESSENCIAL DOREMUS;BD;0
FAROFA CROCANTE DE AMENDOIM DOCE VABENE 1.05KG;UN;0
*K* LEITE COND SEMI SELECT TP 395g;UN;0
RECHEIO FRUTAS VERMELHAS DOREMUS 20KG;KG;0
MILHO VERDE 5;UN;0
CHOCOLATE PREMIUM  5 LITROS;UN;0
COOKIE CREAM PREMIUM 5;UN;0
MORANGO 5;UN;0
PISTACHE ITALIA  5;UN;0
LIMÃO SICILIANO 5;UN;0
CARAMELO SALGADO 5;UN;0
MANGA ZERO 5;UN;0
CUPUAÇU 5;UN;0
PISTACHE 240ML;UN;0
PAÇOCA PREMIUM BALDE 5 LT;UN;0
CREME AÇAI NATURAL 5KG PLASTICO;UN;0
